dataset,table_name,period,source_url,downloaded_at_utc,local_path,sha256,bytes,status
price,DISPATCHPRICE,2023-04,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_04/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202304010000.zip,2026-08-23T05:10:00.247204+00:00,data/raw/aemo_history/price/2023-04.zip,f1c0213d773c39340ca8ebb59d71d24deb5859a10a1813919f40ac7c32c9c8e3,1687096,downloaded
price,DISPATCHPRICE,2023-05,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_05/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202305010000.zip,2026-08-23T05:10:05.617794+00:00,data/raw/aemo_history/price/2023-05.zip,346e3813d28e451815899428a41abda24a979ec444edcf843470fc8a80fbf4db,1859167,downloaded
price,DISPATCHPRICE,2023-06,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_06/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202306010000.zip,2026-08-23T05:10:10.976576+00:00,data/raw/aemo_history/price/2023-06.zip,9ce3e538c2810e5208b9e8382e7da952fda5e245f3aa0e67bb164589b9bc62c1,1660103,downloaded
price,DISPATCHPRICE,2023-07,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_07/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202307010000.zip,2026-08-23T05:10:16.501924+00:00,data/raw/aemo_history/price/2023-07.zip,d79605fdec367fcc09089749a12b824468ef294ec5d00e15fe2d8d08b736e0b1,1689853,downloaded
price,DISPATCHPRICE,2023-08,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_08/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202308010000.zip,2026-08-23T05:10:21.839246+00:00,data/raw/aemo_history/price/2023-08.zip,0e3b85dfc89e148a93c25eab8e46eff5a4e0a609d6c33621eea0ed903476be88,1795685,downloaded
price,DISPATCHPRICE,2023-09,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_09/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202309010000.zip,2026-08-23T05:10:26.799648+00:00,data/raw/aemo_history/price/2023-09.zip,01e96cb913803d96e32cb9e62df3af7a67a59616037e929e7af57596be690c2f,1753239,downloaded
price,DISPATCHPRICE,2023-10,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_10/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202310010000.zip,2026-08-23T05:10:31.265469+00:00,data/raw/aemo_history/price/2023-10.zip,bc6f0f749da2d2580935931ff52298ab545ff173afad7710b31f7ed3e5fef339,1836728,downloaded
price,DISPATCHPRICE,2023-11,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_11/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202311010000.zip,2026-08-23T05:10:36.814000+00:00,data/raw/aemo_history/price/2023-11.zip,2f403a733486fae3fdd925356186fee8b34dcbd449afab6a4bca6cf313139877,1681200,downloaded
price,DISPATCHPRICE,2023-12,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2023/MMSDM_2023_12/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202312010000.zip,2026-08-23T05:10:41.783465+00:00,data/raw/aemo_history/price/2023-12.zip,ca6e897b04b4322be10e9a11c047586738f065b78921040921083f769ffc002c,1557674,downloaded
price,DISPATCHPRICE,2024-01,https://nemweb.com.au/Data_Archive/Wholesale_Electricity/MMSDM/2024/MMSDM_2024_01/MMSDM_Historical_Data_SQLLoader/DATA/PUBLIC_DVD_DISPATCHPRICE_202401010000.zip,2026-08-23T05:10:46.701925+00:00,data/raw/aemo_history/price/2024-01.zip,a519ca164ebd25998cd5b7740df3e80f92c938595508d95c7e6c0bcdacaab5ff,1584114,downloaded
