model,family,outcome,parameter,coefficient,std_error,statistic,p_value,ci_lower,ci_upper,nobs,week_clusters,region_clusters,effects,sample,covariance
exposure_all_unknown_as_renewable_upper_bound_negative_price_any,exposure_all_unknown_as_renewable_upper_bound,negative_price_any,log_demand_centered,-0.5560067000188403,0.020129860411060334,-27.62099133649943,0.0,-0.5954608046354564,-0.5165525954022243,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
exposure_all_unknown_as_renewable_upper_bound_negative_price_any,exposure_all_unknown_as_renewable_upper_bound,negative_price_any,log_demand_centered_sq,-0.11728964273005306,0.004780949805537536,-24.532707411862454,0.0,-0.12666020417174226,-0.10791908128836385,210399,314,4,region_month + timestamp,headline_sample,clustered_aest_week_debiased
sample_include_tas1_negative_price_any,sample_include_tas1,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03718452760903668,0.00118507027682369,31.37748734083628,0.0,0.03486181916241425,0.0395072360556591,263007,314,5,region_month + timestamp,all_five_sample,clustered_aest_week_debiased
sample_include_tas1_negative_price_any,sample_include_tas1,negative_price_any,log_demand_centered,-0.5592339896748402,0.017849929404361795,-31.329759183147594,0.0,-0.5942194100418497,-0.5242485693078306,263007,314,5,region_month + timestamp,all_five_sample,clustered_aest_week_debiased
sample_include_tas1_negative_price_any,sample_include_tas1,negative_price_any,log_demand_centered_sq,-0.11399610761560397,0.004450303339566487,-25.61535673357236,0.0,-0.12271859214584499,-0.10527362308536295,263007,314,5,region_month + timestamp,all_five_sample,clustered_aest_week_debiased
sample_post_5ms_negative_price_any,sample_post_5ms,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03476049626101772,0.0017146205020974025,20.272996980088063,0.0,0.03139986047266058,0.03812113204937487,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
sample_post_5ms_negative_price_any,sample_post_5ms,negative_price_any,log_demand_centered,-0.6139726269993986,0.024103808891975394,-25.47201688127396,0.0,-0.6612158057080433,-0.5667294482907539,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
sample_post_5ms_negative_price_any,sample_post_5ms,negative_price_any,log_demand_centered_sq,-0.13077546320237596,0.0060817985236286615,-21.502761509493364,0.0,-0.14269571596447844,-0.11885521044027347,131391,197,4,region_month + timestamp,post_5ms_sample,clustered_aest_week_debiased
aggressive_fe_negative_price_any,aggressive_region_date_fe,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.027392386235284092,0.0016287221256936326,16.818330028898178,0.0,0.0242001236002017,0.030584648870366483,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
aggressive_fe_negative_price_any,aggressive_region_date_fe,negative_price_any,log_demand_centered,-0.6287188278704793,0.02303567453160443,-27.293267536311607,0.0,-0.6738682870207581,-0.5835693687202005,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
aggressive_fe_negative_price_any,aggressive_region_date_fe,negative_price_any,log_demand_centered_sq,-0.11821818271396284,0.005306713505789914,-22.277099109454536,0.0,-0.12861923454004134,-0.10781713088788433,210399,314,4,region_date + timestamp,headline_sample,clustered_aest_week_debiased
inference_negative_price_any,inference_driscoll_kraay,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03576899977956606,0.0016260645506822975,21.997281574435263,9.282427691854468e-107,0.03258189849593286,0.03895610106319926,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
inference_negative_price_any,inference_driscoll_kraay,negative_price_any,log_demand_centered,-0.5572156609708213,0.022289834239560175,-24.99864534577249,4.0111632440190456e-137,-0.6009039384669792,-0.5135273834746634,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
inference_negative_price_any,inference_driscoll_kraay,negative_price_any,log_demand_centered_sq,-0.11791831249357312,0.005424280462367288,-21.738977789159286,2.5338964625793304e-104,-0.1285499514510446,-0.10728667353610165,210399,314,4,region_month + timestamp,headline_sample,driscoll_kraay_bartlett_bandwidth_168_hours
inference_negative_price_any,inference_two_way_benchmark,negative_price_any,renewable_share_ws_10pp_winsor_p999,0.03576899977956606,0.00676024013793354,5.29108419963612,1.2175537977832107e-07,0.022519070759247167,0.04901892879988495,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
inference_negative_price_any,inference_two_way_benchmark,negative_price_any,log_demand_centered,-0.5572156609708213,0.11599174684968125,-4.803925073160087,1.5572786429274288e-06,-0.7845570543744684,-0.32987426756717425,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
inference_negative_price_any,inference_two_way_benchmark,negative_price_any,log_demand_centered_sq,-0.11791831249357312,0.03191750000781673,-3.6944720753409395,0.0002204186032370714,-0.18047594372867776,-0.05536068125846848,210399,314,4,region_month + timestamp,headline_sample,two_way_region_and_aest_week_debiased_four_region_benchmark
